"left"	"op"	"right"	"expected_class"	"actual_class"	"truth_ok"	"class_ok"	"warnings"	"error"
"atom"	"&"	"atom"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"atom"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"clause"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"clause"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"&"	"raw_true"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"raw_true"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"raw_false"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"raw_false"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfAtom_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfAtom_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfAtom_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfAtom_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfAtom_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfAtom_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfAtom_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfAtom_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfClause_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfClause_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfClause_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfClause_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfClause_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfClause_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfClause_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfClause_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"&"	"CnfFormula_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfFormula_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"&"	"CnfFormula_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfFormula_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"&"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"&"	"atom"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"atom"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"clause"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"clause"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"&"	"raw_true"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"raw_true"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"raw_false"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"raw_false"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"CnfAtom_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"CnfAtom_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"CnfAtom_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"CnfAtom_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"CnfAtom_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"CnfAtom_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"CnfAtom_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"CnfAtom_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"CnfClause_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"CnfClause_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"CnfClause_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"CnfClause_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"CnfClause_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"CnfClause_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"CnfClause_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"CnfClause_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"&"	"CnfFormula_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
