"id"	"line"	"column"	"owner"	"condition"	"false"	"true"
1	36	7	"return_entries"	"!length(entries)"	30032	2
2	42	3	"simplify_cnf"	"is.logical(entries)"	30030	4
3	91	5	"register_unit"	"is.null(ur)"	77174	68764
4	102	7	"register_unit"	"!length(unit_isct)"	68905	8269
5	115	5	"register_unit"	"!is.null(is_not_subset_of) && length(unit_domains[[nu]]) == length(unit[[1L]])"	69735	67934
6	119	7	"register_unit"	"use_inso"	14728	53206
7	128	7	"register_unit"	"eliminated[[s_clause_idx]]"	513921	142708
8	129	7	"register_unit"	"use_inso"	111344	402577
9	133	9	"register_unit"	"s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]] && !is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]"	341363	61214
10	136	7	"register_unit"	"identical(adr, TRUE)"	437622	15085
11	149	5	"apply_domain_restriction"	"is.na(symbol_idx)"	862024	474885
12	153	5	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == length(restringent)"	700112	161912
13	160	5	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == clause_symbol_length_before"	492714	207398
14	161	5	"apply_domain_restriction"	"!length(clause[[symbol_idx]])"	237950	254764
15	170	5	"apply_domain_restriction"	"is.null(is_not_subset_of)"	220525	17425
16	176	5	"apply_domain_restriction"	"meta_idx > meta_idx_outer"	119490	101035
17	178	5	"apply_domain_restriction"	"!is_unit_propagation"	27996	91494
18	185	9	"apply_domain_restriction"	"!is_not_subset_of[[other_meta_idx]][meta_idx, symbol] && !all(entries[[available[[other_meta_idx]]]][[symbol]] %in% entries[[clause_idx]][[symbol]])"	362521	45207
19	210	7	"apply_domain_restriction"	"eliminated[[clause_idx_other]] || is_unit[[clause_idx_other]]"	469157	1784
20	216	7	"apply_domain_restriction"	"!all(entries[[clause_idx]][[symbol]] %in% other_clause_range)"	185388	283769
21	220	7	"apply_domain_restriction"	"!is_not_subset_of[[meta_idx]][other_meta_idx, is_not_subset_of_col]"	185276	112
22	223	7	"apply_domain_restriction"	"rowsum > 1L + second_order_enabled"	128674	56602
23	225	7	"apply_domain_restriction"	"identical(ousr, TRUE)"	128470	204
