"id"	"kind"	"owner"	"expression"	"count"
1	"helper"	"char_intersect"	"char_intersect"	15360
2	"helper"	"char_setdiff"	"char_setdiff"	4800
3	"helper"	"char_union"	"char_union"	1632
4	"if"	"return_entries"	"!length(entries)"	1920
5	"helper"	"return_entries"	"return_entries"	1920
6	"if"	"simplify_cnf"	"is.logical(entries)"	1920
7	"=="	"simplify_cnf"	"lengths(entries) == 1L"	1920
8	"if"	"register_unit"	"!length(unit_isct)"	384
9	"if"	"register_unit"	"is.null(ur)"	2112
10	"=="	"register_unit"	"length(unit_domains[[nu]]) == length(unit[[1L]])"	1056
11	"&&_left"	"register_unit"	"!is.null(is_not_subset_of)"	2016
12	"&&_right"	"register_unit"	"length(unit_domains[[nu]]) == length(unit[[1L]])"	1056
13	"<="	"register_unit"	"unit_idx_meta <= meta_idx_outer"	1056
14	"if"	"register_unit"	"use_inso"	1056
15	"if"	"register_unit"	"!is.null(is_not_subset_of) && length(unit_domains[[nu]]) == length(unit[[1L]])"	2016
16	"for_sequence"	"register_unit"	"symbol_registry[[nu]]"	2016
17	"if"	"register_unit"	"eliminated[[s_clause_idx]]"	3072
18	"<="	"register_unit"	"s_clause_idx_meta <= meta_idx_outer"	3072
19	"&&_left"	"register_unit"	"s_clause_idx_meta <= meta_idx_outer"	3072
20	"&&_right"	"register_unit"	"inso_column[[s_clause_idx_meta]]"	1824
21	"&&_left"	"register_unit"	"s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]]"	3072
22	"&&_right"	"register_unit"	"!is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]"	1344
23	"if"	"register_unit"	"s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]] && !is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]"	3072
24	"if"	"register_unit"	"use_inso"	3072
25	"if"	"register_unit"	"identical(adr, TRUE)"	2304
26	"for_iteration"	"register_unit"	"s_clause_idx"	3072
27	"helper"	"register_unit"	"register_unit"	2112
28	"if"	"apply_domain_restriction"	"is.na(symbol_idx)"	11712
29	"=="	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == length(restringent)"	8064
30	"if"	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == length(restringent)"	8064
31	"=="	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == clause_symbol_length_before"	7488
