"id"	"kind"	"owner"	"expression"
1	"helper_entry"	"char_intersect"	"NULL"
2	"helper_entry"	"char_setdiff"	"NULL"
3	"helper_entry"	"char_union"	"NULL"
4	"helper_entry"	"return_entries"	"NULL"
5	"if"	"return_entries"	"!length(entries)"
6	"if"	"simplify_cnf"	"is.logical(entries)"
7	"actual_write"	"simplify_cnf"	"entries"
8	"decision_=="	"simplify_cnf"	"lengths(entries) == 1L"
9	"helper_entry"	"register_unit"	"NULL"
10	"if"	"register_unit"	"!length(unit_isct)"
11	"actual_write"	"register_unit"	"entries[[ur]][[1L]]"
12	"if"	"register_unit"	"is.null(ur)"
13	"decision_=="	"register_unit"	"length(unit_domains[[nu]]) == length(unit[[1L]])"
14	"&&_left"	"register_unit"	"!is.null(is_not_subset_of)"
15	"&&_right"	"register_unit"	"length(unit_domains[[nu]]) == length(unit[[1L]])"
16	"decision_<="	"register_unit"	"unit_idx_meta <= meta_idx_outer"
17	"if"	"register_unit"	"use_inso"
18	"if"	"register_unit"	"!is.null(is_not_subset_of) && length(unit_domains[[nu]]) == length(unit[[1L]])"
19	"for_sequence"	"register_unit"	"symbol_registry[[nu]]"
20	"for_iteration"	"register_unit"	"s_clause_idx"
21	"if"	"register_unit"	"eliminated[[s_clause_idx]]"
22	"decision_<="	"register_unit"	"s_clause_idx_meta <= meta_idx_outer"
23	"&&_left"	"register_unit"	"s_clause_idx_meta <= meta_idx_outer"
24	"&&_right"	"register_unit"	"inso_column[[s_clause_idx_meta]]"
25	"&&_left"	"register_unit"	"s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]]"
26	"&&_right"	"register_unit"	"!is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]"
27	"if"	"register_unit"	"s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]] && !is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]"
28	"if"	"register_unit"	"use_inso"
29	"if"	"register_unit"	"identical(adr, TRUE)"
30	"helper_entry"	"apply_domain_restriction"	"NULL"
31	"if"	"apply_domain_restriction"	"is.na(symbol_idx)"
32	"decision_=="	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == length(restringent)"
33	"if"	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == length(restringent)"
34	"decision_=="	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == clause_symbol_length_before"
35	"if"	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == clause_symbol_length_before"
36	"if"	"apply_domain_restriction"	"!length(clause[[symbol_idx]])"
37	"actual_write"	"apply_domain_restriction"	"entries[[clause_idx]]"
38	"if"	"apply_domain_restriction"	"is.null(is_not_subset_of)"
39	"decision_>"	"apply_domain_restriction"	"meta_idx > meta_idx_outer"
40	"if"	"apply_domain_restriction"	"meta_idx > meta_idx_outer"
41	"for_sequence"	"apply_domain_restriction"	"idx_to_check"
42	"for_iteration"	"apply_domain_restriction"	"other_meta_idx"
43	"decision_all"	"apply_domain_restriction"	"all(entries[[available[[other_meta_idx]]]][[symbol]] %in% entries[[clause_idx]][[symbol]])"
44	"&&_left"	"apply_domain_restriction"	"!is_not_subset_of[[other_meta_idx]][meta_idx, symbol]"
45	"&&_right"	"apply_domain_restriction"	"!all(entries[[available[[other_meta_idx]]]][[symbol]] %in% entries[[clause_idx]][[symbol]])"
46	"if"	"apply_domain_restriction"	"!is_not_subset_of[[other_meta_idx]][meta_idx, symbol] && !all(entries[[available[[other_meta_idx]]]][[symbol]] %in% entries[[clause_idx]][[symbol]])"
47	"if"	"apply_domain_restriction"	"!is_unit_propagation"
48	"for_sequence"	"apply_domain_restriction"	"rows_to_check"
49	"for_iteration"	"apply_domain_restriction"	"other_meta_idx"
50	"||_left"	"apply_domain_restriction"	"eliminated[[clause_idx_other]]"
51	"||_right"	"apply_domain_restriction"	"is_unit[[clause_idx_other]]"
52	"if"	"apply_domain_restriction"	"eliminated[[clause_idx_other]] || is_unit[[clause_idx_other]]"
53	"decision_all"	"apply_domain_restriction"	"all(entries[[clause_idx]][[symbol]] %in% other_clause_range)"
54	"if"	"apply_domain_restriction"	"!all(entries[[clause_idx]][[symbol]] %in% other_clause_range)"
55	"if"	"apply_domain_restriction"	"!is_not_subset_of[[meta_idx]][other_meta_idx, is_not_subset_of_col]"
56	"decision_>"	"apply_domain_restriction"	"rowsum > 1L + second_order_enabled"
57	"if"	"apply_domain_restriction"	"rowsum > 1L + second_order_enabled"
58	"if"	"apply_domain_restriction"	"identical(ousr, TRUE)"
59	"||_left"	"apply_domain_restriction"	"eliminated[[clause_idx]]"
60	"||_right"	"apply_domain_restriction"	"is_unit[[clause_idx]]"
61	"if"	"apply_domain_restriction"	"eliminated[[clause_idx]] || is_unit[[clause_idx]]"
62	"if"	"apply_domain_restriction"	"second_order_enabled"
63	"helper_entry"	"eliminate_symbol_from_clause"	"NULL"
64	"if"	"eliminate_symbol_from_clause"	"!length(clause)"
65	"decision_!="	"eliminate_symbol_from_clause"	"sr != clause_idx"
66	"actual_write"	"eliminate_symbol_from_clause"	"entries[[clause_idx]]"
67	"decision_=="	"eliminate_symbol_from_clause"	"length(clause) == 1"
68	"decision_!="	"eliminate_symbol_from_clause"	"sr != clause_idx"
69	"if"	"eliminate_symbol_from_clause"	"register_unit(clause_idx)"
70	"if"	"eliminate_symbol_from_clause"	"length(clause) == 1"
71	"if"	"eliminate_symbol_from_clause"	"is.null(is_not_subset_of)"
72	"decision_>"	"eliminate_symbol_from_clause"	"meta_idx > meta_idx_outer"
73	"if"	"eliminate_symbol_from_clause"	"meta_idx > meta_idx_outer"
74	"for_sequence"	"eliminate_symbol_from_clause"	"others_ref_this_symbol[!is.na(not_subset_count[others_ref_this_symbol, meta_idx])]"
75	"for_iteration"	"eliminate_symbol_from_clause"	"meta_idx_other"
76	"if"	"eliminate_symbol_from_clause"	"!is_not_subset_of[[meta_idx_other]][meta_idx, symbol]"
77	"for_sequence"	"eliminate_symbol_from_clause"	"rows_changed[!eliminated[rows_changed_ids] & !is_unit[rows_changed_ids] & rows_changed <= meta_idx_outer]"
78	"decision_<="	"eliminate_symbol_from_clause"	"rows_changed <= meta_idx_outer"
79	"for_iteration"	"eliminate_symbol_from_clause"	"meta_idx_other"
80	"||_left"	"eliminate_symbol_from_clause"	"eliminated[[clause_idx_other]]"
81	"||_right"	"eliminate_symbol_from_clause"	"is_unit[[clause_idx_other]]"
82	"if"	"eliminate_symbol_from_clause"	"eliminated[[clause_idx_other]] || is_unit[[clause_idx_other]]"
83	"decision_>"	"eliminate_symbol_from_clause"	"not_subset_count[meta_idx, meta_idx_other] > 1L + second_order_enabled"
84	"if"	"eliminate_symbol_from_clause"	"not_subset_count[meta_idx, meta_idx_other] > 1L + second_order_enabled"
85	"if"	"eliminate_symbol_from_clause"	"identical(ousr, TRUE)"
86	"||_left"	"eliminate_symbol_from_clause"	"eliminated[[clause_idx]]"
87	"||_right"	"eliminate_symbol_from_clause"	"is_unit[[clause_idx]]"
88	"if"	"eliminate_symbol_from_clause"	"eliminated[[clause_idx]] || is_unit[[clause_idx]]"
89	"helper_entry"	"on_updated_subset_relations"	"NULL"
90	"decision_>"	"on_updated_subset_relations"	"rowsum > 1L + second_order_enabled"
91	"if"	"on_updated_subset_relations"	"rowsum > 1L + second_order_enabled"
92	"decision_=="	"on_updated_subset_relations"	"rowsum == 2L"
93	"if"	"on_updated_subset_relations"	"identical(hs2oo, TRUE)"
