"mode"	"jit"	"raw_matching"	"normalized_matching"	"formula_before"	"simplifier_before"	"simplifier_after"
"cmpfun0"	0	56	56	TRUE	TRUE	TRUE
"cmpfun0"	1	56	56	TRUE	TRUE	TRUE
"cmpfun0"	2	56	56	TRUE	TRUE	TRUE
"cmpfun0"	3	56	56	TRUE	TRUE	TRUE
"cmpfun3"	0	56	56	TRUE	TRUE	TRUE
"cmpfun3"	1	56	56	TRUE	TRUE	TRUE
"cmpfun3"	2	56	56	TRUE	TRUE	TRUE
"cmpfun3"	3	56	56	TRUE	TRUE	TRUE
"development"	0	4	56	FALSE	FALSE	FALSE
"development"	1	4	56	FALSE	FALSE	TRUE
"development"	2	4	56	FALSE	FALSE	TRUE
"development"	3	4	56	FALSE	FALSE	TRUE
"installed"	0	56	56	TRUE	TRUE	TRUE
"installed"	1	56	56	TRUE	TRUE	TRUE
"installed"	2	56	56	TRUE	TRUE	TRUE
"installed"	3	56	56	TRUE	TRUE	TRUE
"installed_no_bytecode"	0	56	56	FALSE	FALSE	FALSE
"installed_no_bytecode"	1	56	56	FALSE	FALSE	TRUE
"installed_no_bytecode"	2	56	56	FALSE	FALSE	TRUE
"installed_no_bytecode"	3	56	56	FALSE	FALSE	TRUE
"source"	0	56	56	FALSE	FALSE	FALSE
"source"	1	56	56	FALSE	FALSE	TRUE
"source"	2	56	56	FALSE	FALSE	TRUE
"source"	3	56	56	FALSE	FALSE	TRUE
