"id","kind","line","expression","evaluations"
1,"[",30,"x[x %in% y]",32422
2,"[",31,"x[!x %in% y]",5989
3,"[",32,"y[!y %in% x]",441
4,"if",36,"if (!length(entries)) TRUE else entries",3596
5,"if",42,"if (is.logical(entries)) return(return_entries(entries))",3596
6,"[",48,"entries[order(lengths(entries))]",3594
7,"[[",88,"entries[[unit_idx]]",9954
8,"[[",90,"unit_registry[[nu]]",9954
9,"if",91,"if (is.null(ur)) {     unit_registry[[nu]] = unit_idx     unit_domains[[nu]] = unit[[1L]]     is_unit[[unit_idx]] <<- TRUE } else {     prev_unit = unit_domains[[nu]]     unit_isct = prev_unit[prev_unit %in% unit[[1L]]]     if (!length(unit_isct))          return(TRUE)     entries[[ur]][[1L]] <<- (unit_domains[[nu]] = unit_isct)     eliminated[[unit_idx]] <<- TRUE }",9954
10,"[[",92,"unit_registry[[nu]]",6464
11,"[[",93,"unit_domains[[nu]]",6464
12,"[[",93,"unit[[1L]]",6464
13,"[[",95,"is_unit[[unit_idx]]",6464
14,"[[",100,"unit_domains[[nu]]",3490
15,"[",101,"prev_unit[prev_unit %in% unit[[1L]]]",3490
16,"[[",101,"unit[[1L]]",3490
17,"if",102,"if (!length(unit_isct)) return(TRUE)",3490
18,"[[",103,"entries[[ur]][[1L]]",2271
19,"[[",103,"entries[[ur]]",2271
20,"[[",103,"unit_domains[[nu]]",2271
21,"[[",104,"eliminated[[unit_idx]]",2271
22,"if",115,"if (!is.null(is_not_subset_of) && length(unit_domains[[nu]]) == length(unit[[1L]])) {     unit_idx_meta = available_inverse[[unit_idx]]     use_inso = unit_idx_meta <= meta_idx_outer     if (use_inso) {         inso_column = is_not_subset_of[[unit_idx_meta]][, nu]     } }",8735
23,"&&",115,"!is.null(is_not_subset_of) && length(unit_domains[[nu]]) == length(unit[[1L]])",9131
24,"[[",115,"unit_domains[[nu]]",396
25,"[[",115,"unit[[1L]]",396
26,"[[",117,"available_inverse[[unit_idx]]",388
27,"if",119,"if (use_inso) {     inso_column = is_not_subset_of[[unit_idx_meta]][, nu] }",388
28,"[",121,"is_not_subset_of[[unit_idx_meta]][, nu]",335
29,"[[",121,"is_not_subset_of[[unit_idx_meta]]",335
30,"[[",124,"symbol_registry[[nu]]",8735
31,"if",128,"if (eliminated[[s_clause_idx]]) next",1318
32,"[[",128,"eliminated[[s_clause_idx]]",1318
33,"if",129,"if (use_inso) {     s_clause_idx_meta = available_inverse[[s_clause_idx]]     if (s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]] && !is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu])          next }",1244
34,"[[",132,"available_inverse[[s_clause_idx]]",872
35,"if",133,"if (s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]] && !is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]) next",872
36,"&&",133,"s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]] && !is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]",1209
37,"&&",133,"s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]]",1394
38,"[[",133,"inso_column[[s_clause_idx_meta]]",522
39,"[",133,"is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]",337
40,"[[",133,"is_not_subset_of[[s_clause_idx_meta]]",337
41,"[[",135,"unit_domains[[nu]]",1034
42,"if",136,"if (identical(adr, TRUE)) return(TRUE)",1037
43,"[[",147,"entries[[clause_idx]]",21627
44,"if",149,"if (is.na(symbol_idx)) return(FALSE)",21627
45,"[[",151,"clause[[symbol_idx]]",18563
46,"[[",152,"clause[[symbol_idx]]",18563
47,"[[",152,"clause[[symbol_idx]]",18563
48,"if",153,"if (length(clause[[symbol_idx]]) == length(restringent)) {     eliminate_clause_update_sr(clause_idx)     return(NULL) }",18563
49,"[[",153,"clause[[symbol_idx]]",18563
50,"if",160,"if (length(clause[[symbol_idx]]) == clause_symbol_length_before) return(FALSE)",13103
51,"[[",160,"clause[[symbol_idx]]",13103
52,"if",161,"if (!length(clause[[symbol_idx]])) {     return(eliminate_symbol_from_clause(clause_idx, symbol)) }",10470
53,"[[",161,"clause[[symbol_idx]]",10470
54,"[[",167,"entries[[clause_idx]]",3330
55,"if",170,"if (is.null(is_not_subset_of)) return(FALSE)",3330
56,"[[",172,"available_inverse[[clause_idx]]",1017
57,"if",176,"if (meta_idx > meta_idx_outer) return(FALSE)",1017
58,"if",178,"if (!is_unit_propagation) {     idx_to_check = which(!is.na(not_subset_count[, meta_idx]) & available %in% symbol_registry[[symbol]])     for (other_meta_idx in idx_to_check) {         if (!is_not_subset_of[[other_meta_idx]][meta_idx, symbol] && !all(entries[[available[[other_meta_idx]]]][[symbol]] %in% entries[[clause_idx]][[symbol]])) {             is_not_subset_of[[other_meta_idx]][meta_idx, symbol] <<- TRUE             not_subset_count[other_meta_idx, meta_idx] <<- not_subset_count[other_meta_idx, meta_idx] + 1L         }     } }",919
59,"[",182,"not_subset_count[, meta_idx]",868
60,"[[",182,"symbol_registry[[symbol]]",868
61,"if",185,"if (!is_not_subset_of[[other_meta_idx]][meta_idx, symbol] && !all(entries[[available[[other_meta_idx]]]][[symbol]] %in% entries[[clause_idx]][[symbol]])) {     is_not_subset_of[[other_meta_idx]][meta_idx, symbol] <<- TRUE     not_subset_count[other_meta_idx, meta_idx] <<- not_subset_count[other_meta_idx, meta_idx] + 1L }",1958
62,"&&",185,"!is_not_subset_of[[other_meta_idx]][meta_idx, symbol] && !all(entries[[available[[other_meta_idx]]]][[symbol]] %in% entries[[clause_idx]][[symbol]])",2377
63,"[",185,"is_not_subset_of[[other_meta_idx]][meta_idx, symbol]",1958
64,"[[",185,"is_not_subset_of[[other_meta_idx]]",1958
65,"[[",185,"entries[[available[[other_meta_idx]]]][[symbol]]",419
66,"[[",185,"entries[[available[[other_meta_idx]]]]",419
67,"[[",185,"available[[other_meta_idx]]",419
68,"[[",185,"entries[[clause_idx]][[symbol]]",419
69,"[[",185,"entries[[clause_idx]]",419
70,"[",186,"is_not_subset_of[[other_meta_idx]][meta_idx, symbol]",171
71,"[[",186,"is_not_subset_of[[other_meta_idx]]",171
72,"[",188,"not_subset_count[other_meta_idx, meta_idx]",171
73,"[",188,"not_subset_count[other_meta_idx, meta_idx]",171
74,"[[",194,"is_not_subset_of[[meta_idx]]",919
75,"[",205,"not_subset_count[meta_idx, ]",919
76,"[",205,"is_not_subset_of[[meta_idx]][, is_not_subset_of_col]",919
77,"[[",205,"is_not_subset_of[[meta_idx]]",919
78,"[[",205,"symbol_registry[[symbol]]",919
79,"[[",207,"available[[other_meta_idx]]",1902
80,"if",210,"if (eliminated[[clause_idx_other]] || is_unit[[clause_idx_other]]) next",1902
81,"||",210,"eliminated[[clause_idx_other]] || is_unit[[clause_idx_other]]",3802
82,"[[",210,"eliminated[[clause_idx_other]]",1902
83,"[[",210,"is_unit[[clause_idx_other]]",1900
84,"[[",215,"entries[[available[[other_meta_idx]]]][[symbol]]",1900
85,"[[",215,"entries[[available[[other_meta_idx]]]]",1900
86,"[[",215,"available[[other_meta_idx]]",1900
87,"if",216,"if (!all(entries[[clause_idx]][[symbol]] %in% other_clause_range)) next",1900
88,"[[",216,"entries[[clause_idx]][[symbol]]",1900
89,"[[",216,"entries[[clause_idx]]",1900
90,"if",220,"if (!is_not_subset_of[[meta_idx]][other_meta_idx, is_not_subset_of_col]) next",1163
91,"[",220,"is_not_subset_of[[meta_idx]][other_meta_idx, is_not_subset_of_col]",1163
92,"[[",220,"is_not_subset_of[[meta_idx]]",1163
93,"[",221,"is_not_subset_of[[meta_idx]][other_meta_idx, is_not_subset_of_col]",1163
94,"[[",221,"is_not_subset_of[[meta_idx]]",1163
95,"[",222,"not_subset_count[meta_idx, other_meta_idx]",1163
96,"[",222,"not_subset_count[meta_idx, other_meta_idx]",1163
97,"if",223,"if (rowsum > 1L + second_order_enabled) next",1163
98,"if",225,"if (identical(ousr, TRUE)) return(TRUE)",570
99,"if",226,"if (eliminated[[clause_idx]] || is_unit[[clause_idx]]) return(NULL)",570
100,"||",226,"eliminated[[clause_idx]] || is_unit[[clause_idx]]",1137
101,"[[",226,"eliminated[[clause_idx]]",570
102,"[[",226,"is_unit[[clause_idx]]",567
103,"if",231,"if (second_order_enabled) on_update_range(meta_idx, symbol) else FALSE",916
104,"[[",237,"entries[[clause_idx]]",7140
105,"[[",238,"clause[[symbol]]",7140
106,"if",239,"if (!length(clause)) return(TRUE)",7140
107,"[[",241,"symbol_registry[[symbol]]",7140
108,"[[",242,"symbol_registry[[symbol]]",7140
109,"[",242,"sr[sr != clause_idx]",7140
110,"[[",244,"entries[[clause_idx]]",7140
111,"if",245,"if (length(clause) == 1) {     sr = symbol_registry[[names(clause)]]     symbol_registry[[names(clause)]] = sr[sr != clause_idx]     if (register_unit(clause_idx))          return(TRUE)     return(NULL) }",7140
112,"[[",249,"symbol_registry[[names(clause)]]",2348
113,"[[",250,"symbol_registry[[names(clause)]]",2348
114,"[",250,"sr[sr != clause_idx]",2348
115,"if",251,"if (register_unit(clause_idx)) return(TRUE)",2348
116,"if",255,"if (is.null(is_not_subset_of)) return(FALSE)",4792
117,"[[",257,"available_inverse[[clause_idx]]",1398
118,"if",261,"if (meta_idx > meta_idx_outer) return(FALSE)",1398
119,"[[",263,"is_not_subset_of[[meta_idx]]",1325
120,"[",264,"is_not_subset_of[[meta_idx]][, is_not_subset_of_col]",1325
121,"[[",264,"is_not_subset_of[[meta_idx]]",1325
122,"[",264,"not_subset_count[meta_idx, ]",1325
123,"[",265,"is_not_subset_of[[meta_idx]][, is_not_subset_of_col]",1325
124,"[[",265,"is_not_subset_of[[meta_idx]]",1325
125,"[",266,"not_subset_count[meta_idx, rows_changed]",1325
126,"[",266,"not_subset_count[meta_idx, rows_changed]",1325
127,"[",267,"available_inverse[sr]",1325
128,"[",269,"others_ref_this_symbol[!is.na(not_subset_count[others_ref_this_symbol, meta_idx])]",1325
129,"[",269,"not_subset_count[others_ref_this_symbol, meta_idx]",1325
130,"if",270,"if (!is_not_subset_of[[meta_idx_other]][meta_idx, symbol]) {     is_not_subset_of[[meta_idx_other]][meta_idx, symbol] <<- TRUE     not_subset_count[meta_idx_other, meta_idx] <<- not_subset_count[meta_idx_other, meta_idx] + 1L }",2404
131,"[",270,"is_not_subset_of[[meta_idx_other]][meta_idx, symbol]",2404
132,"[[",270,"is_not_subset_of[[meta_idx_other]]",2404
133,"[",271,"is_not_subset_of[[meta_idx_other]][meta_idx, symbol]",207
134,"[[",271,"is_not_subset_of[[meta_idx_other]]",207
135,"[",272,"not_subset_count[meta_idx_other, meta_idx]",207
136,"[",272,"not_subset_count[meta_idx_other, meta_idx]",207
137,"[",276,"available[rows_changed]",1325
138,"[",277,"rows_changed[!eliminated[rows_changed_ids] & !is_unit[rows_changed_ids] & rows_changed <= meta_idx_outer]",1325
139,"[",277,"eliminated[rows_changed_ids]",1325
140,"[",277,"is_unit[rows_changed_ids]",1325
141,"[[",281,"available[[meta_idx_other]]",3275
142,"if",283,"if (eliminated[[clause_idx_other]] || is_unit[[clause_idx_other]]) next",3275
143,"||",283,"eliminated[[clause_idx_other]] || is_unit[[clause_idx_other]]",6547
144,"[[",283,"eliminated[[clause_idx_other]]",3275
145,"[[",283,"is_unit[[clause_idx_other]]",3272
146,"if",284,"if (not_subset_count[meta_idx, meta_idx_other] > 1L + second_order_enabled) next",3270
147,"[",284,"not_subset_count[meta_idx, meta_idx_other]",3270
148,"if",286,"if (identical(ousr, TRUE)) return(TRUE)",984
149,"if",288,"if (eliminated[[clause_idx]] || is_unit[[clause_idx]]) return(NULL)",984
150,"||",288,"eliminated[[clause_idx]] || is_unit[[clause_idx]]",1964
151,"[[",288,"eliminated[[clause_idx]]",984
