decision invariants: n=20000 seed=27
100/20000 trials; elapsed 2.0s; pairs 341; projected certificates 269
200/20000 trials; elapsed 2.8s; pairs 799; projected certificates 601
300/20000 trials; elapsed 3.4s; pairs 1097; projected certificates 908
400/20000 trials; elapsed 4.1s; pairs 1368; projected certificates 1103
500/20000 trials; elapsed 4.9s; pairs 1986; projected certificates 1499
600/20000 trials; elapsed 5.6s; pairs 2277; projected certificates 1743
700/20000 trials; elapsed 6.1s; pairs 2369; projected certificates 1827
800/20000 trials; elapsed 6.8s; pairs 2647; projected certificates 2045
900/20000 trials; elapsed 7.4s; pairs 2741; projected certificates 2126
1000/20000 trials; elapsed 8.0s; pairs 3045; projected certificates 2517
1100/20000 trials; elapsed 8.6s; pairs 3380; projected certificates 2774
1200/20000 trials; elapsed 9.2s; pairs 3748; projected certificates 3041
1300/20000 trials; elapsed 9.9s; pairs 4050; projected certificates 3232
1400/20000 trials; elapsed 10.6s; pairs 4380; projected certificates 3564
1500/20000 trials; elapsed 11.2s; pairs 4590; projected certificates 3683
1600/20000 trials; elapsed 11.8s; pairs 4933; projected certificates 3919
1700/20000 trials; elapsed 12.5s; pairs 5351; projected certificates 4254
1800/20000 trials; elapsed 13.1s; pairs 5569; projected certificates 4457
1900/20000 trials; elapsed 13.7s; pairs 5767; projected certificates 4637
2000/20000 trials; elapsed 14.3s; pairs 5924; projected certificates 4825
2100/20000 trials; elapsed 15.0s; pairs 6467; projected certificates 5188
2200/20000 trials; elapsed 15.6s; pairs 6673; projected certificates 5275
2300/20000 trials; elapsed 16.3s; pairs 7053; projected certificates 5673
2400/20000 trials; elapsed 17.3s; pairs 7822; projected certificates 6345
2500/20000 trials; elapsed 17.8s; pairs 8168; projected certificates 6677
2600/20000 trials; elapsed 18.7s; pairs 8686; projected certificates 7117
2700/20000 trials; elapsed 19.3s; pairs 8814; projected certificates 7263
2800/20000 trials; elapsed 20.0s; pairs 9007; projected certificates 7497
2900/20000 trials; elapsed 20.9s; pairs 9654; projected certificates 8025
3000/20000 trials; elapsed 21.5s; pairs 9861; projected certificates 8198
3100/20000 trials; elapsed 22.5s; pairs 10901; projected certificates 9453
3200/20000 trials; elapsed 23.3s; pairs 11558; projected certificates 9965
3300/20000 trials; elapsed 24.0s; pairs 11808; projected certificates 10145
3400/20000 trials; elapsed 24.7s; pairs 12103; projected certificates 10347
3500/20000 trials; elapsed 25.4s; pairs 12373; projected certificates 10571
3600/20000 trials; elapsed 26.2s; pairs 12692; projected certificates 10733
3700/20000 trials; elapsed 27.1s; pairs 13390; projected certificates 11263
3800/20000 trials; elapsed 27.8s; pairs 13707; projected certificates 11534
3900/20000 trials; elapsed 28.5s; pairs 13988; projected certificates 11884
4000/20000 trials; elapsed 29.2s; pairs 14334; projected certificates 12137
4100/20000 trials; elapsed 29.8s; pairs 14595; projected certificates 12309
4200/20000 trials; elapsed 30.4s; pairs 14815; projected certificates 12496
4300/20000 trials; elapsed 31.1s; pairs 15010; projected certificates 12683
4400/20000 trials; elapsed 31.7s; pairs 15276; projected certificates 12927
4500/20000 trials; elapsed 32.5s; pairs 15637; projected certificates 13248
4600/20000 trials; elapsed 33.3s; pairs 16052; projected certificates 13700
4700/20000 trials; elapsed 34.0s; pairs 16436; projected certificates 14052
4800/20000 trials; elapsed 34.7s; pairs 16752; projected certificates 14251
4900/20000 trials; elapsed 35.3s; pairs 17032; projected certificates 14520
5000/20000 trials; elapsed 36.0s; pairs 17462; projected certificates 15004
5100/20000 trials; elapsed 36.7s; pairs 17915; projected certificates 15471
5200/20000 trials; elapsed 37.4s; pairs 18357; projected certificates 15764
5300/20000 trials; elapsed 38.0s; pairs 18551; projected certificates 15906
5400/20000 trials; elapsed 38.6s; pairs 18864; projected certificates 16146
5500/20000 trials; elapsed 39.2s; pairs 19110; projected certificates 16338
5600/20000 trials; elapsed 39.7s; pairs 19253; projected certificates 16489
5700/20000 trials; elapsed 40.4s; pairs 19584; projected certificates 16684
5800/20000 trials; elapsed 41.0s; pairs 19833; projected certificates 16937
5900/20000 trials; elapsed 41.7s; pairs 20270; projected certificates 17380
6000/20000 trials; elapsed 42.4s; pairs 20564; projected certificates 17628
6100/20000 trials; elapsed 43.0s; pairs 20886; projected certificates 17882
6200/20000 trials; elapsed 43.7s; pairs 21409; projected certificates 18372
6300/20000 trials; elapsed 44.4s; pairs 21786; projected certificates 18651
6400/20000 trials; elapsed 44.9s; pairs 21927; projected certificates 18802
6500/20000 trials; elapsed 45.6s; pairs 22434; projected certificates 19061
6600/20000 trials; elapsed 46.3s; pairs 22756; projected certificates 19360
6700/20000 trials; elapsed 47.0s; pairs 23063; projected certificates 19704
6800/20000 trials; elapsed 48.0s; pairs 23978; projected certificates 20184
6900/20000 trials; elapsed 48.8s; pairs 24638; projected certificates 20641
7000/20000 trials; elapsed 49.4s; pairs 24785; projected certificates 20726
7100/20000 trials; elapsed 50.1s; pairs 25188; projected certificates 21056
7200/20000 trials; elapsed 50.7s; pairs 25531; projected certificates 21296
7300/20000 trials; elapsed 51.5s; pairs 25880; projected certificates 21495
7400/20000 trials; elapsed 52.3s; pairs 26358; projected certificates 21786
7500/20000 trials; elapsed 52.9s; pairs 26538; projected certificates 21952
7600/20000 trials; elapsed 53.5s; pairs 26910; projected certificates 22194
7700/20000 trials; elapsed 54.3s; pairs 27426; projected certificates 22824
7800/20000 trials; elapsed 54.9s; pairs 27766; projected certificates 23080
7900/20000 trials; elapsed 55.7s; pairs 28181; projected certificates 23388
8000/20000 trials; elapsed 56.3s; pairs 28384; projected certificates 23509
8100/20000 trials; elapsed 57.1s; pairs 28707; projected certificates 23742
8200/20000 trials; elapsed 57.7s; pairs 29020; projected certificates 23963
