apt	3.3.1
base-files	14.2
base-passwd	3.6.8
bash	5.3-3
binutils	2.46.50.20260617-1
binutils-common:amd64	2.46.50.20260617-1
binutils-x86-64-linux-gnu	2.46.50.20260617-1
bsdutils	1:2.42.1-3
build-essential	12.12
bzip2	1.0.8-6+b2
ca-certificates	20260601
coreutils	9.10-1
cpp	4:15.2.0-5+b1
cpp-15	15.3.0-1
cpp-15-x86-64-linux-gnu	15.3.0-1
cpp-x86-64-linux-gnu	4:15.2.0-5+b1
dash	0.5.12-12
debconf	1.5.92
debian-archive-keyring	2025.1
debianutils	5.23.2
diffutils	1:3.12-1
dpkg	1.23.7
dpkg-dev	1.23.7
ed	1.22.5-1
findutils	4.10.0-4
fontconfig	2.17.1-5
fontconfig-config	2.17.1-5
fonts-font-awesome	7.3.0+dfsg-1
fonts-font-awesome-legacy	6-3
fonts-glyphicons-halflings	1.009~3.4.1+dfsg-7
fonts-mathjax	2.7.9+dfsg-1
fonts-texgyre	20180621-7
g++	4:15.2.0-5+b1
g++-15	15.3.0-1
g++-15-x86-64-linux-gnu	15.3.0-1
g++-x86-64-linux-gnu	4:15.2.0-5+b1
gcc	4:15.2.0-5+b1
gcc-15	15.3.0-1
gcc-15-base:amd64	15.3.0-1
gcc-15-x86-64-linux-gnu	15.3.0-1
gcc-16-base:amd64	16.1.0-2
gcc-x86-64-linux-gnu	4:15.2.0-5+b1
gfortran	4:15.2.0-5+b1
gfortran-15	15.3.0-1
gfortran-15-x86-64-linux-gnu	15.3.0-1
gfortran-x86-64-linux-gnu	4:15.2.0-5+b1
git	1:2.53.0-1
git-man	1:2.53.0-1
grep	3.12-1
gzip	1.13-1
hostname	3.25
icu-devtools	78.3-2
init-system-helpers	1.69
javascript-common	12+nmu1
less	668-1
libacl1:amd64	2.3.2-3
libapt-pkg7.0:amd64	3.3.1
libasan8:amd64	16.1.0-2
libatomic1:amd64	16.1.0-2
libattr1:amd64	1:2.5.2-4
libaudit-common	1:4.1.2-1
libaudit1:amd64	1:4.1.2-1+b1
libbinutils:amd64	2.46.50.20260617-1
libblas-dev:amd64	3.12.1-7+b2
libblas3:amd64	3.12.1-7+b2
libblkid1:amd64	2.42.1-3
libbrotli1:amd64	1.2.0-3
libbsd0:amd64	0.12.2-3
libbz2-1.0:amd64	1.0.8-6+b2
libbz2-dev:amd64	1.0.8-6+b2
libc-bin	2.43-4
libc-dev-bin	2.43-4
libc-gconv-modules-extra:amd64	2.43-4
libc-l10n	2.43-4
libc6:amd64	2.43-4
libc6-dev:amd64	2.43-4
libcairo2:amd64	1.18.4-3+b1
libcap-ng0:amd64	0.9.3-1
libcc1-0:amd64	16.1.0-2
libcom-err2:amd64	1.47.4-1
libcrypt1:amd64	1:4.5.1-1+b1
libctf-nobfd0:amd64	2.46.50.20260617-1
libctf0:amd64	2.46.50.20260617-1
libcurl3t64-gnutls:amd64	8.21.0-2
libcurl4-gnutls:amd64	8.21.0-2
libcurl4t64:amd64	8.21.0-2
libdatrie1:amd64	0.2.14-1+b1
libdb5.3t64:amd64	5.3.28+dfsg2-11+b1
libdebconfclient0:amd64	0.283
libdeflate-dev:amd64	1.25-1
libdeflate0:amd64	1.25-1
libdpkg-perl	1.23.7
liberror-perl	0.17030-1
libexpat1:amd64	2.8.1-1
libffi8:amd64	3.5.2-4
libfontconfig1:amd64	2.17.1-5
libfreetype6:amd64	2.14.3+dfsg-1
libfribidi0:amd64	1.0.16-5+b1
libgcc-15-dev:amd64	15.3.0-1
libgcc-s1:amd64	16.1.0-2
libgdbm-compat4t64:amd64	1.26-1+b2
libgdbm6t64:amd64	1.26-1+b2
libgfortran-15-dev:amd64	15.3.0-1
libgfortran5:amd64	16.1.0-2
libgit2-1.9:amd64	1.9.7+ds-1
libglib2.0-0t64:amd64	2.88.1-2
