"id"	"owner"	"condition"	"false"	"true"
1	"return_entries"	"!length(entries)"	20016	1
2	"simplify_cnf"	"is.logical(entries)"	20015	2
3	"register_unit"	"is.null(ur)"	62099	48046
4	"register_unit"	"!length(unit_isct)"	56147	5952
5	"register_unit"	"!is.null(is_not_subset_of) && length(unit_domains[[nu]]) == length(unit[[1L]])"	37285	66908
6	"register_unit"	"use_inso"	14653	52255
7	"register_unit"	"eliminated[[s_clause_idx]]"	508716	142487
8	"register_unit"	"use_inso"	109741	398975
9	"register_unit"	"s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]] && !is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]"	338586	60389
10	"register_unit"	"identical(adr, TRUE)"	433296	15031
11	"apply_domain_restriction"	"is.na(symbol_idx)"	752327	458121
12	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == length(restringent)"	622587	129740
13	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == clause_symbol_length_before"	431319	191268
14	"apply_domain_restriction"	"!length(clause[[symbol_idx]])"	213946	217373
15	"apply_domain_restriction"	"is.null(is_not_subset_of)"	213572	374
16	"apply_domain_restriction"	"meta_idx > meta_idx_outer"	113110	100462
17	"apply_domain_restriction"	"!is_unit_propagation"	27774	85336
18	"apply_domain_restriction"	"!is_not_subset_of[[other_meta_idx]][meta_idx, symbol] && !all(entries[[available[[other_meta_idx]]]][[symbol]] %in% entries[[clause_idx]][[symbol]])"	348375	43871
19	"apply_domain_restriction"	"eliminated[[clause_idx_other]] || is_unit[[clause_idx_other]]"	454368	1778
20	"apply_domain_restriction"	"!all(entries[[clause_idx]][[symbol]] %in% other_clause_range)"	177021	277347
21	"apply_domain_restriction"	"!is_not_subset_of[[meta_idx]][other_meta_idx, is_not_subset_of_col]"	176909	112
22	"apply_domain_restriction"	"rowsum > 1L + second_order_enabled"	125999	50910
23	"apply_domain_restriction"	"identical(ousr, TRUE)"	125795	204
24	"apply_domain_restriction"	"eliminated[[clause_idx]] || is_unit[[clause_idx]]"	124732	1063
25	"apply_domain_restriction"	"second_order_enabled"	75930	35913
26	"eliminate_symbol_from_clause"	"!length(clause)"	217373	0
27	"eliminate_symbol_from_clause"	"length(clause) == 1"	135418	81955
28	"eliminate_symbol_from_clause"	"register_unit(clause_idx)"	63417	18538
29	"eliminate_symbol_from_clause"	"is.null(is_not_subset_of)"	135418	0
30	"eliminate_symbol_from_clause"	"meta_idx > meta_idx_outer"	78666	56752
31	"eliminate_symbol_from_clause"	"!is_not_subset_of[[meta_idx_other]][meta_idx, symbol]"	255707	31889
