"id"	"owner"	"condition"	"false"	"true"
1	"return_entries"	"!length(entries)"	10016	1
2	"simplify_cnf"	"is.logical(entries)"	10015	2
3	"register_unit"	"is.null(ur)"	15075	20718
4	"register_unit"	"!length(unit_isct)"	12758	2317
5	"register_unit"	"!is.null(is_not_subset_of) && length(unit_domains[[nu]]) == length(unit[[1L]])"	32450	1026
6	"register_unit"	"use_inso"	75	951
7	"register_unit"	"eliminated[[s_clause_idx]]"	5205	221
8	"register_unit"	"use_inso"	1603	3602
9	"register_unit"	"s_clause_idx_meta <= meta_idx_outer && inso_column[[s_clause_idx_meta]] && !is_not_subset_of[[s_clause_idx_meta]][unit_idx_meta, nu]"	2777	825
10	"register_unit"	"identical(adr, TRUE)"	4326	54
11	"apply_domain_restriction"	"is.na(symbol_idx)"	109697	16764
12	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == length(restringent)"	77525	32172
13	"apply_domain_restriction"	"length(clause[[symbol_idx]]) == clause_symbol_length_before"	61395	16130
14	"apply_domain_restriction"	"!length(clause[[symbol_idx]])"	24004	37391
15	"apply_domain_restriction"	"is.null(is_not_subset_of)"	6953	17051
16	"apply_domain_restriction"	"meta_idx > meta_idx_outer"	6380	573
17	"apply_domain_restriction"	"!is_unit_propagation"	222	6158
18	"apply_domain_restriction"	"!is_not_subset_of[[other_meta_idx]][meta_idx, symbol] && !all(entries[[available[[other_meta_idx]]]][[symbol]] %in% entries[[clause_idx]][[symbol]])"	14146	1336
19	"apply_domain_restriction"	"eliminated[[clause_idx_other]] || is_unit[[clause_idx_other]]"	14789	6
20	"apply_domain_restriction"	"!all(entries[[clause_idx]][[symbol]] %in% other_clause_range)"	8367	6422
21	"apply_domain_restriction"	"!is_not_subset_of[[meta_idx]][other_meta_idx, is_not_subset_of_col]"	8367	0
22	"apply_domain_restriction"	"rowsum > 1L + second_order_enabled"	2675	5692
23	"apply_domain_restriction"	"identical(ousr, TRUE)"	2675	0
24	"apply_domain_restriction"	"eliminated[[clause_idx]] || is_unit[[clause_idx]]"	2668	7
25	"apply_domain_restriction"	"second_order_enabled"	4980	1393
26	"eliminate_symbol_from_clause"	"!length(clause)"	37391	0
27	"eliminate_symbol_from_clause"	"length(clause) == 1"	28992	8399
