"event"	"source_line"	"kind"	"changed"	"positional_models"	"projection_models"	"positional_delta"	"projection_delta"	"live"
1	3	"entry"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
2	48	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
3	50	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
4	51	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
5	62	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
6	527	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
7	537	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
8	540	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
9	560	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
10	569	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
11	560	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
12	569	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
13	603	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
14	603	"observe"	FALSE	"-"	"-"	"-"	"-"	"[1:X={b,c} OR 2:X={b,c}] AND [1:X={b} OR 2:Y={c}] AND [1:X={c} OR 2:Y={b}] AND [1:X={a} OR 2:Y={a}]"
