"event"	"source_line"	"kind"	"changed"	"positional_models"	"projection_models"	"positional_delta"	"projection_delta"	"live"
1	3	"entry"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}]"
2	48	"observe"	TRUE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
3	50	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
4	51	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
5	62	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
6	527	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
7	537	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
8	540	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
9	560	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
10	569	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
11	560	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
12	569	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
13	608	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
14	610	"observe"	FALSE	"4,5"	"4,5"	"-"	"-"	"[1:S1={0} OR 2:S2={1}] AND [1:S1={1} OR 2:S2={0}] AND [1:S2={0} OR 2:S3={0}] AND [1:S1={1} OR 2:S1={1} OR 3:S2={1} OR 4:S3={1}]"
