"event"	"source_line"	"kind"	"changed"	"positional_models"	"projection_models"	"positional_delta"	"projection_delta"	"live"
1	3	"entry"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
2	48	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
3	50	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
4	51	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
5	62	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
6	527	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
7	537	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
8	540	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
9	560	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
10	569	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
11	560	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
12	569	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
13	600	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
14	603	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
15	608	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
16	610	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
17	297	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
18	313	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
19	147	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
20	297	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
21	313	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
22	147	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
23	560	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
24	569	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
25	608	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
26	610	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
27	608	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
28	610	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
29	297	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
30	297	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
31	439	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
32	451	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
33	452	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
34	458	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
35	297	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
36	297	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
37	439	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
38	451	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
39	452	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
40	458	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
41	654	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
42	655	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
43	656	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
44	660	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
45	684	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
46	688	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
47	689	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
48	691	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
49	693	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
50	709	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
51	711	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
52	722	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
53	684	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
54	688	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
55	689	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
56	691	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
57	693	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
58	722	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
59	684	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
60	684	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
61	688	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
62	689	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
63	691	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
64	693	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
65	722	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
66	684	"observe"	FALSE	"2,4,10,12,14,15,16"	"2,4,10,12,14,15,16"	"-"	"-"	"[1:S1={1} OR 2:S2={1}] AND [1:S1={1} OR 2:S3={1}] AND [1:S3={0} OR 2:S4={1}]"
