"event"	"source_line"	"kind"	"changed"	"positional_models"	"projection_models"	"positional_delta"	"projection_delta"	"live"
1	3	"entry"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
2	48	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
3	50	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
4	51	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
5	62	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
6	527	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
7	537	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
8	540	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
9	560	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
10	569	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
11	560	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
12	569	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
13	600	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
14	603	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
15	608	"observe"	FALSE	"1,3,5,6"	"1,3,5,6"	"-"	"-"	"[1:Y={b,c} OR 2:X={a}] AND [1:Y={c,a} OR 2:X={a} OR 3:Y={c,a}]"
