"event"	"source_line"	"kind"	"changed"	"positional_models"	"projection_models"	"positional_delta"	"projection_delta"	"live"
1	3	"entry"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a} OR 2:X={a}] AND [1:X={a,b}]"
2	48	"observe"	TRUE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
3	50	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
4	51	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
5	62	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
6	88	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
7	92	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
8	93	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
9	95	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
10	147	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
11	152	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
12	147	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
13	152	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
14	527	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
15	537	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
16	540	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
17	560	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
18	569	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
19	654	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
20	655	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
21	656	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
22	660	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
23	684	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
24	732	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
25	738	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
26	750	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
27	753	"observe"	FALSE	"1"	"1"	"-"	"-"	"[1:X={a,b}] AND [1:X={a} OR 2:X={a}]"
